setup,size,size_bytes,lite_time_us,nccl_time_us,lite_busbw,nccl_busbw,nccl_cfg,nccl_log,nccl_label
1nx4g_cudaipc,64MiB,67108864,2518.42,3077.69,19.99,16.35,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,128MiB,134217728,5053.99,6125.41,19.92,16.43,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,256MiB,268435456,10119.7,12255.7,19.89,16.43,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,512MiB,536870912,20215.2,24471.4,19.92,16.45,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
1nx4g_cudaipc,1GiB,1073741824,40373.2,48938.6,19.95,16.46,default,.tmp/collective-benchmarks/ag-1nx4g-postfix-20260609-060049/nccl_allgather_1nx4g.log,NCCL
2nx1g,128B,128,9.42,8.8,0.01,0.01,ring_ll,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_small_ring_ll.log,NCCL tuned
2nx1g,256B,256,8.73,8.9,0.01,0.01,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross1.log,NCCL tuned
2nx1g,512B,512,8.81,9.07,0.03,0.03,buff8m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff8m.log,NCCL tuned
2nx1g,1KiB,1024,8.5,9.14,0.06,0.06,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross1.log,NCCL tuned
2nx1g,2KiB,2048,8.53,9.34,0.12,0.11,cross0,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross0.log,NCCL tuned
2nx1g,4KiB,4096,10.05,9.75,0.2,0.21,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross1.log,NCCL tuned
2nx1g,8KiB,8192,9.82,10.65,0.42,0.38,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross1.log,NCCL tuned
2nx1g,16KiB,16384,9.99,12.35,0.82,0.66,buff16m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff16m.log,NCCL tuned
2nx1g,32KiB,32768,13.98,14.24,1.17,1.15,buff8m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff8m.log,NCCL tuned
2nx1g,64KiB,65536,17.13,18.41,1.91,1.78,buff8m,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_buff8m.log,NCCL tuned
2nx1g,128KiB,131072,22.9,26.68,2.86,2.46,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ch4.log,NCCL tuned
2nx1g,256KiB,262144,36.05,38.02,3.64,3.45,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ring_simple.log,NCCL tuned
2nx1g,512KiB,524288,46.38,45.51,5.65,5.76,ch4,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ch4.log,NCCL tuned
2nx1g,1MiB,1048576,72.96,67.69,7.19,7.75,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ring_simple.log,NCCL tuned
2nx1g,2MiB,2097152,94.85,108.06,11.05,9.7,cross1,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_cross1.log,NCCL tuned
2nx1g,4MiB,4194304,149.32,188.63,14.04,11.12,ring_simple,.tmp/collective-benchmarks/ag-nccl-tune-20260609-022425/nccl_2nx1g_full_ring_simple.log,NCCL tuned
